Symbol,Company,Market
ACSEL.IS,ACIPAYAM SELULOZ,N
ADEL.IS,ADEL KALEMCILIK,N
ADESE.IS,ADESE GAYRIMENKUL,N
AFYON.IS,AFYON CIMENTO,N
AGYO.IS,ATAKULE GMYO,N
AKMGY.IS,AKMERKEZ GMYO,N
AKSUE.IS,AKSU ENERJI,N
AKYHO.IS,AKDENIZ YATIRIM HOLDING,N
ALCAR.IS,ALARKO CARRIER,N
ALKA.IS,ALKIM KAGIT,N
ALMAD.IS,ALTINYAG MADENCILIK VE ENERJI,N
ANELE.IS,ANEL ELEKTRIK,N
ARMDA.IS,ARMADA BILGISAYAR,N
ARSAN.IS,ARSAN TEKSTIL,N
ARZUM.IS,ARZUM EV ALETLERI,N
ASUZU.IS,ANADOLU ISUZU,N
ATEKS.IS,AKIN TEKSTIL,N
AVGYO.IS,AVRASYA GMYO,N
AVHOL.IS,AVRUPA YATIRIM HOLDING,N
AVOD.IS,A.V.O.D GIDA VE TARIM,N
AZTEK.IS,AZTEK TEKNOLOJI,N
BAKAB.IS,BAK AMBALAJ,N
BANVT.IS,BANVIT,N
BAYRK.IS,BAYRAK TABAN SANAYI,N
BEYAZ.IS,BEYAZ FILO,N
BFREN.IS,BOSCH FREN SISTEMLERI,N
BIZIM.IS,BIZIM MAGAZALARI,N
BJKAS.IS,BESIKTAS FUTBOL YAT.,N
BMSCH.IS,BMS CELIK HASIR,N
BMSTL.IS,BMS BIRLESIK METAL,N
BNTAS.IS,BANTAS AMBALAJ,N
BOSSA.IS,BOSSA,N
BRLSM.IS,BIRLESIM MUHENDISLIK,N
BSOKE.IS,BATISOKE CIMENTO,N
BURCE.IS,BURCELIK,N
BURVA.IS,BURCELIK VANA,N
CELHA.IS,CELIK HALAT,N
CEMAS.IS,CEMAS DOKUM,N
CEOEM.IS,CEO EVENT MEDYA,N
CMBTN.IS,CIMBETON,N
CRDFA.IS,CREDITWEST FAKTORING,N
CRFSA.IS,CARREFOURSA,N
CUSAN.IS,CUHADAROGLU METAL,N
DAGHL.IS,DAGI YATIRIM HOLDING,N
DAGI.IS,DAGI GIYIM,N
DENGE.IS,DENGE HOLDING,N
DERHL.IS,DERLUKS YATIRIM HOLDING,N
